Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
GREENLEAF,PI 659692,31,2,3,329.2,255.3,205.2,2.5,174.49,0.76,229.592105263158,69.796,69.6
SC 550, ,32,1,1,667.1,748.9,509.3,10.95,372.11,3.26,114.144171779141,33.9826484018265,70.2283105022831
SC 550, ,32,1,2,463,522.9,796.5,10.95,584.02,3.19,183.078369905956,53.3351598173516,70.8675799086758
SC 550, ,32,1,3,350.3,467.7,581.7,3.55,259.09,1.16,223.353448275862,72.9830985915493,67.3239436619718
SC 550, ,32,2,1,478.8,529.7,651.3,3.3,245.66,1.13,217.398230088496,74.4424242424243,65.7575757575758
SC 550, ,32,2,2,496.8,760.6,624.6,3.25,185.98,1.23,151.20325203252,57.2246153846154,62.1538461538462
SC 550, ,32,2,3,516.1,512.7,624.6,1.55,128.66,0.55,233.927272727273,83.0064516129032,64.5161290322581
SC 864, ,33,1,1,,,,,,,,,
SC 864, ,33,1,2,,,,,,,,,
SC 864, ,33,1,3,,,,,,,,,
SC 864, ,33,2,1,542.1,548.4,502,9.8,488.84,3.06,159.751633986928,49.8816326530612,68.7755102040816
SC 864, ,33,2,2,573.8,515,487.5,9.4,538.73,2.97,181.390572390572,57.3117021276596,68.4042553191489
SC 864, ,33,2,3,355.6,498,372.5,6.85,395.97,2.09,189.459330143541,57.8058394160584,69.4890510948905
ZA 2,PI 533781,34,1,1,787.8,518.7,739.3,4.2,217.78,1.43,152.293706293706,51.852380952381,65.952380952381
ZA 2,PI 533781,34,1,2,749.1,732.6,643.8,5.15,265.26,1.63,162.736196319018,51.5067961165049,68.3495145631068
ZA 2,PI 533781,34,1,3,300.2,436.7,502.5,1.8,88.28,0.38,232.315789473684,49.0444444444444,78.8888888888889
ZA 2,PI 533781,34,2,1,808.7,791.8,667.1,5.5,260.52,1.84,141.586956521739,47.3672727272727,66.5454545454545
ZA 2,PI 533781,34,2,2,349,395.2,388.8,1.55,67.71,0.39,173.615384615385,43.6838709677419,74.8387096774194
ZA 2,PI 533781,34,2,3,700.1,680,484.4,5.5,288.8,1.58,182.784810126582,52.5090909090909,71.2727272727273
SC 1446, ,35,1,1,470.7,715.6,626.8,3,183.3,1.07,171.308411214953,61.1,64.3333333333333
SC 1446, ,35,1,2,765.1,604.4,752.5,4,226.99,1.4,162.135714285714,56.7475,65
SC 1446, ,35,1,3,697.8,703.2,429.4,2.95,178.31,0.95,187.694736842105,60.4440677966102,67.7966101694915
SC 1446, ,35,2,1,642.7,676.6,531.9,4.1,228.41,1.27,179.850393700787,55.709756097561,69.0243902439024
SC 1446, ,35,2,2,683,581.7,512.7,4.4,206.03,1.31,157.274809160305,46.825,70.2272727272727
SC 1446, ,35,2,3,493.4,656.3,591,2.75,167.51,0.82,204.280487804878,60.9127272727273,70.1818181818182
SC 138, ,36,1,1,678.8,690.2,461.8,6.95,334.3,1.9,175.947368421053,48.1007194244604,72.6618705035971
SC 138, ,36,1,2,559,669.1,486.7,6.7,317.72,1.71,185.801169590643,47.4208955223881,74.4776119402985
SC 138, ,36,1,3,515,534.2,459.6,5.2,255.09,1.24,205.717741935484,49.0557692307692,76.1538461538462
SC 138, ,36,2,1,646.1,616.7,202.5,4.15,206.27,1.27,162.417322834646,49.7036144578313,69.3975903614458
SC 138, ,36,2,2,608.8,648.4,545.5,5,260.06,1.38,188.449275362319,52.012,72.4
SC 138, ,36,2,3,590,577.2,160.9,4.7,250.89,1.36,184.477941176471,53.3808510638298,71.063829787234
IS 1044C,PI 57633 ,37,1,1,598.5,774.6,521.8,7.85,406.87,2.43,167.43621399177,51.8305732484077,69.0445859872612
IS 1044C,PI 57633 ,37,1,2,623.4,749.7,669.2,9.25,481.32,2.88,167.125,52.0345945945946,68.8648648648649
IS 1044C,PI 57633 ,37,1,3,759.5,786,429.1,8.6,451.75,2.79,161.917562724014,52.5290697674419,67.5581395348837
IS 1044C,PI 57633 ,37,2,1,768.3,754.7,672.4,8.7,422.15,2.69,156.933085501859,48.5229885057471,69.0804597701149
IS 1044C,PI 57633 ,37,2,2,792.4,745.5,683,9.9,488.21,2.96,164.935810810811,49.3141414141414,70.1010101010101
IS 1044C,PI 57633 ,37,2,3,764.9,787,639.5,9.4,441.84,2.72,162.441176470588,47.0042553191489,71.063829787234
Njahi No. 738,PI 57643 ,38,1,1,538.7,571.5,573.8,3.45,115.81,1.15,100.704347826087,33.568115942029,66.6666666666667
Njahi No. 738,PI 57643 ,38,1,2,621.2,677.7,605.7,5.2,281.31,1.52,185.072368421053,54.0980769230769,70.7692307692308
Njahi No. 738,PI 57643 ,38,1,3,332.9,606.5,466,5.15,260.68,1.49,174.953020134228,50.6174757281553,71.0679611650486
Njahi No. 738,PI 57643 ,38,2,1,546.4,548.4,586,4.65,245.21,1.27,193.07874015748,52.7333333333333,72.6881720430108
Njahi No. 738,PI 57643 ,38,2,2,466.4,675.4,472.9,3.7,170.11,0.94,180.968085106383,45.9756756756757,74.5945945945946
Njahi No. 738,PI 57643 ,38,2,3,467.7,469,488.9,2.3,106.57,0.61,174.704918032787,46.3347826086957,73.4782608695652
SC 448, ,39,1,1,464.1,665.1,470.3,12.95,640.08,4.53,141.298013245033,49.427027027027,65.019305019305
SC 448, ,39,1,2,453.9,521.8,467.7,12.59,609.95,4.25,143.517647058824,48.4471803018269,66.2430500397141
SC 448, ,39,1,3,414.3,609.7,288.3,11.85,611.05,4.05,150.876543209877,51.5654008438819,65.8227848101266
SC 448, ,39,2,1,402.1,493.4,536.4,9.4,330.1,2.97,111.144781144781,35.1170212765957,68.4042553191489
SC 448, ,39,2,2,529.7,536.4,326.5,8.8,385.5,3.21,120.093457943925,43.8068181818182,63.5227272727273
SC 448, ,39,2,3,428.1,520.6,511.6,10,396.36,3.3,120.109090909091,39.636,67
Col. El Obeid 8-5,PI 59797 ,40,1,1,686,659.6,555.6,4.2,190.79,1.37,139.262773722628,45.4261904761905,67.3809523809524
Col. El Obeid 8-5,PI 59797 ,40,1,2,699.8,529.7,549.4,5.7,595.72,1.75,340.411428571429,104.512280701754,69.2982456140351
Col. El Obeid 8-5,PI 59797 ,40,1,3,720.5,648.4,499.1,6.5,274.1,1.06,258.584905660377,42.1692307692308,83.6923076923077
Col. El Obeid 8-5,PI 59797 ,40,2,1,686,659.6,463,4.55,240.45,1.48,162.466216216216,52.8461538461539,67.4725274725275
Col. El Obeid 8-5,PI 59797 ,40,2,2,574.9,650.3,520.6,5.8,245.41,1.69,145.213017751479,42.3120689655172,70.8620689655172
Col. El Obeid 8-5,PI 59797 ,40,2,3,753.1,707.1,534.4,5.2,171.91,1.7,101.123529411765,33.0596153846154,67.3076923076923
SC 636, ,41,1,1,772.1,704.9,748.7,15.15,540.67,3.52,153.599431818182,35.6877887788779,76.7656765676568
SC 636, ,41,1,2,840.6,766.7,687,16.25,609.67,3.74,163.013368983957,37.5181538461538,76.9846153846154
SC 636, ,41,1,3,672.1,730.8,651.3,15.5,587.57,3.35,175.394029850746,37.9077419354839,78.3870967741936
SC 636, ,41,2,1,732.1,650,379.3,10.4,382.4,3.12,122.564102564103,36.7692307692308,70
SC 636, ,41,2,2,698.8,704.9,516.1,14.5,555.74,3.93,141.409669211196,38.3268965517241,72.8965517241379
SC 636, ,41,2,3,602,665.1,525.1,14.7,575.16,4.08,140.970588235294,39.1265306122449,72.2448979591837
BTx623, ,42,1,1,752.9,583.9,508.1,7.45,331.44,2.28,145.368421052632,44.4885906040268,69.3959731543624
BTx623, ,42,1,2,598.6,613.7,589,10.3,409.9,2.97,138.013468013468,39.7961165048544,71.1650485436893
BTx623, ,42,1,3,590,602,592,9.8,298.69,2.81,106.29537366548,30.4785714285714,71.3265306122449
BTx623, ,42,2,1,632.6,760,600.9,7.8,397.41,2.27,175.070484581498,50.95,70.8974358974359
BTx623, ,42,2,2,597.5,618.9,585.1,10.45,505.68,3,168.56,48.3904306220096,71.2918660287081
BTx623, ,42,2,3,674.3,711.3,589,11.1,555.93,2.91,191.041237113402,50.0837837837838,73.7837837837838
BTx623, ,42,3,1,754.6,749.3,659.6,10.95,444.8,3.15,141.206349206349,40.6210045662101,71.2328767123288
BTx623, ,42,3,2,762.2,678.8,746.5,15.45,608.19,4.1,148.339024390244,39.3650485436893,73.462783171521
BTx623, ,42,3,3,764.8,759.1,643.8,17.3,668.29,4.16,160.646634615385,38.6294797687861,75.9537572254335
BTx623, ,42,4,1,,,,,,,,,
